aaaa,аааа：ああああ
vozdvyzhenska,воздвиженська：ヴォズドヴィジェンスカ
vozdvyzhenskiy,воздвиженській：ヴォズドヴィジェンスキー（地名）の
vozdeystvye,воздействие：影響
vozdeystvyya,воздействия：影響
vozdykhaniya,воздиханія：ため息(古語)
vozduy,воздуй：空気
vozdus,воздус：空気
vozdusa,воздуса：空気
vozdukh,воздух：空気（ロシア語）
vozdukha,воздуха：空気(ロシア語)
vozdukhe,воздухе：空気 \ 空気中で
vozdukhy,воздухи：空気（ロシア語複数）
vozdukhyy,воздухий：空気の
vozdukho,воздухо：空気
vozdukhom,воздухом：空気で
vozdushnaya,воздушная：空気の（ロシア語）
vozdushnyy,воздушний：空中の（ロシア語）
vozdushnoy,воздушной：空気の
vozzr,воззр：視線（略語）
vozzrenyya,воззрения：見解（ロシア語）
vozy,вози：荷車
vozymyy,возимий：運ばれる
vozle,возле：近くに
vozlyy,возлий：御者
vozlozhyty,возложити：置く（ロシア語）
vozlyubyty,возлюбити：愛する
vozlyublenyy,возлюблений：愛する（ロシア語）
vozlyublennyy,возлюбленний：愛する
vozmozhna,возможна：可能な
vozmozhnyy,возможний：可能な（ロシア語）
vozmozhno,возможно：おそらく \ 可能に（ロシア語）
vozmozhnoe,возможное：可能な
vozmozhnost,"возможност：可能性（ロシア語,誤記）"
vozmozhnostey,возможностей：可能性（ロシア語）
vozmozhnosty,возможности：可能性 \ 可能性（ロシア語・複数）
vozmozhnost,возможность：可能性
vozmozhnist,"возможніст：可能性（誤字,ロシア語混合）"
vozmozhnist,возможність：可能性(ロシア語)
voznesenyy,вознесений：昇天した
voznesennya,вознесення：昇天
voznesetysya,вознесетися：昇天する
voznesty,вознести：持ち上げる
voznestysya,вознестися：昇る
voznesinnya,вознесіння：昇天
voznyk,возник：生じた（ロシア語）
voznykaet,возникает：生じる \ 生じる（ロシア語）
voznykayut,возникают：生じる
voznyknovenye,возникновение：発生（ロシア語）
voznyknovenyya,возникновения：発生（ロシア語）
voznyknuty,возникнути：生じる（ロシア語）
voznykty,возникти：生じる
voznytsya,возниця：御者
voznosyty,возносити：上げる
voznosytysya,возноситися：高まる
voznosyatysya,возносятися：昇る（ロシア語）
voznya,возня：騒ぎ
voznyatski,возняцкі：ヴォズニャツキ
voznis,возніс：昇天
voznisnutysya,возніснутися：昇る
voznissya,вознісся：昇天した
vozobnovyt,возобновить：再開する
vozok,возок：荷車
vozraduvatysya,возрадуватися：喜ぶ
vozradutysya,возрадутися：喜ぶ（誤字）
vozrast,возраст：年齢（ロシア語）
vozrasta,возраста：年齢（ロシア語）
vozrastyy,возрастий：年齢の（ロシア語形）
vozrasto,возрасто：年齢（ロシア語形） \ 年齢（ロシア語風）
vozrozhdenye,возрождение：復活 \ 復興（ロシア語）
vozrozhdenyya,возрождения：復活 \ 復興（ロシア語）
vozsidaty,возсідати：座る
vozsiyaty,возсіяти：輝く
voz,возь：運搬
vozkatysya,возькатися：運ばれる
vozm,возьм：取る（露）
vozma,возьма：取ろう
vozmem,возьмем：取ろう（ロシア語）
vozmet,возьмет：取る（ロシア語）
vozmy,возьми：取れ(ロシア語)
vozmyy,возьмий：取れ
vozmyty,возьмити：取る
vozmut,возьмут：取る
vozmuty,возьмути：取る(誤記)
voyma,воима：軍隊(古語)
voyn,воин：戦士
voyna,воина：戦士
voynov,воинов：戦士
voynova,воинова：ヴォイノヴァ
voynskaya,воинская：軍事の（ロシア語・女性形）
voynskye,воинские：軍の（ロシア語）
voynskyy,воинский：軍の \ 軍事の
voynskoy,воинской：軍の（ロシア語）
voy,вой：ヴォイ（人名） \ 戦士
voyvod,войвод：ヴォイヴォダ
voyvoda,войвода：ヴォイヴォダ（称号）
voyvodyy,войводий：ヴォイヴォダの
voykova,войкова：ヴォイコフ
voykovskyy,войковський：ヴォイコフスキーの
voylok,войлок：フェルト
voylochnyy,войлочний：フェルトの
voyna,война：戦争
voynaya,войная：戦争の
voyne,войне：戦争（ロシア語・前置格）
voynesht,войнешть：ヴォイネシュト
voynyy,войний：軍事の（誤字）
voynyty,войнити：戦争する
voynytskyy,войницький：ヴォイニツァ（地名）の
voynoy,войной：戦争 \ 戦争の
voynuty,войнути：入る
voynushka,войнушка：戦争ごっこ
voynushok,войнушок：戦争ごっこ（縮小形）
voyovnyk,войовник：戦士
voyovnyky,войовники：戦士 \ 戦士たち
voyovnytsya,войовниця：女戦士
voys,войс：ボイス
voysk,войск：軍隊 \ 軍隊（ロシア語）
voyska,войска：軍隊
voysky,войски：軍隊の
voyskyy,войский：軍事の（ロシア語・誤字）
voysko,войско：軍隊 \ 軍隊（ロシア語）
voyskovaya,войсковая：軍の（ロシア語）
voyskovyy,войсковий：軍の
voysok,войсок：軍隊（ロシア語）
voysk,войськ：軍隊
voyskyy,войський：ヴォイスキー \ ヴォイスキーの \ 軍の（誤字） \ 軍隊の
voysko,войсько：軍隊
voyta,войта：ヴォイタ
voytekh,войтех：ヴォイチェフ
voyty,войти：入る
voytyshycha,войтишича：ヴォイティシチ（姓）
voytsekhuv,войцехув：ヴォイツェフフ
voytseshkuv,войцешкув：ヴォイツェシュクフ
voytsyekh,войцєх：ヴォイチェフ
voychekhovskyy,войчеховський：ヴォイチェホフスキー
vok,вок：ウォック \ 中華鍋
vokabulyar,вокабуляр：語彙
vokalyst,вокалист：ヴォーカリスト
vokaliz,вокаліз：ヴォカリーズ
vokalizatsiya,вокалізація：発声
vokalistka,вокалістка：女性ボーカリスト
vokatyvnyy,вокативний：呼格の
voke,воке：ヴォケ
vokesha,вокеша：ヴォケシャ
voknyazhytysya,вокняжитися：君主になる
voko,воко：目（古語）
vokoder,вокодер：ボコーダー
vokruh,вокруг：周り \ 周りに \ 周りに（ロシア語）
vokruha,вокруга：周囲
vokruhty,вокругти：周りに（ロシア語）
voks,вокс：ボックス
voksel,воксель：ボクセル
vokselnyy,воксельний：ボクセルの
vokseli,вокселі：ボクセル
vokinha,вокінга：ウォキング
vol,вол：牛
vola,вола：雄牛
volapyuk,волапюк：ヴォラピュク
volastonit,воластоніт：ウォラストナイト
volatylna,волатильна：揮発性の
volatylnyy,волатильний：揮発性の
volatylno,волатильно：不安定に
volatylnist,волатильність：ボラティリティ
volvykonkyy,волвиконкий：ヴォルヴィコンキー
volh,волг：ヴォルグ
volhohradets,волгоградець：ヴォルゴグラード市民
volhohradskyy,волгоградський：ヴォルゴグラードの
volhodonskyy,волгодонський：ヴォルゴドンスクの
volevyy,волевий：意志の
volelyubets,волелюбець：自由愛好者
volelyubstvo,волелюбство：自由愛好
volendam,волендам：フォレンダム
volerenha,волеренга：ヴォレレンガ
volzhanka,волжанка：ヴォルガ川の住民
volzhsk,волжськ：ヴォルジスク（地名）
volymo,волимо：選ぶ
volyn,волин：ヴォリン
volyna,волина：ヴォリン
volynyty,волинити：遅らせる
volyntsivskyy,волинцівський：ヴォリンツィフの
volynshchyk,волинщик：バグパイプ奏者
volynoblenerho,волиньобленерго：ヴォリニ州電力
volyntorf,волиньторф：ヴォリントルフ
volynkholdynh,волиньхолдинг：ヴォリンホールディング
volynyak,волиняк：ヴォルィーニ人
volynyanyn,волинянин：ヴォリン住民
volyt,волить：望む
volytskyy,волицький：ヴォリツキー（地名）
volk,волк：狼（ロシア語）
volka,волка：ヴォルカ
volker,волкер：ヴォルカー
volkera,волкера：ヴォルカー（人名・生格）
volkerom,волкером：ヴォルカーで
volkovynskyy,волковинський：ヴォルコヴィンスキー
volkott,волкотт：ウォルコット
volkris,волкріс：ヴォルクリス
voll,волл：ウォール
voller,воллер：ヴォラー
volles,воллес：ウォレス
vollesa,воллеса：ヴァレサ
vollops,воллопс：ワロップス
voln,волн：波
volna,волна：波
volne,волне：波に
volnyy,волний：波の（誤字）
volnovaskyy,волноваський：ヴォルノヴァハの
volnovatysya,волноватися：心配する(ロシア語)
volnuvatysya,волнуватися：心配する（ロシア語）
volnuet,волнует：心配させる（ロシア語）
volnuetsya,волнуется：心配する（ロシア語）
volnutysya,волнутися：心配する
volovoochkovi,воловоочкові：ウォロヴォオチコヴィ
volovchuk,воловчук：ヴォロフチュク（人名）
volohozabezpechennya,вологозабезпечення：水分供給
volohozabezpechenist,вологозабезпеченість：水分供給
volohozapas,вологозапас：水分貯蔵
volohozapasy,вологозапаси：水分蓄積
volohozakhysnyy,вологозахисний：防湿の
volohozakhyst,вологозахист：防湿
volohozakhyshchenyy,вологозахищений：防湿の
volohomir,вологомір：湿度計
volohonepronyknyy,вологонепроникний：防水の
volohostiykyy,вологостійкий：防湿の
volohostiykist,вологостійкість：耐湿性
volohoyemnist,вологоємність：保水性
volohishe,вологіше：より湿った
volodarnyy,володарний：支配的な
volodymy,володими：ウラジミール
volodymyretskyy,володимирецький：ヴォロディミレツの
volodymyrivskyy,володимирівський：ヴォロディミリフスキー（地名）
volodymr,володимр：ヴォロディミル
volodkoyu,володькою：ヴォロドコの
volodiyuchyy,володіючий：所有する
volokyta,волокита：官僚主義
volokolamsk,волоколамськ：ヴォロコラムスク
volominskoho,"воломінського：ヴォロミン(地名,所有格)"
volontariat,волонтаріат：ボランティア活動
volonte,волонте：ヴォロンテ
volonteryta,волонтерита：ボランティア炎
volonteryty,волонтерити：ボランティアする
volonteryt,волонтерить：ボランティアする
volonterka,волонтерка：女性ボランティア
volonterstvo,волонтерство：ボランティア活動
volonteryat,волонтерять：ボランティアする
volosatist,волосатість：多毛性
voloskovyy,волосковий：毛の
volosnyk,волосник：ヘアグラス
volosovydnyy,волосовидний：毛状の
volosopodibnyy,волосоподібний：毛状の
volostelyn,волостелин：郡長
volostelyny,волостелини：郡の領主たち \ 郡長（古語）
volostelyno,волостелино：ヴォロステリノ
volostel,волостель：郡長
volostnyy,волостний：郡の（ロシア語）
volosye,волосє：毛髪
volosivskyy,волосівський：ヴォロシフの
volotaty,волотати：さまよう
volotepodibnyy,волотеподібний：オート麦状の
voloti,волоті：穂（前置格）
volof,волоф：ウォロフ語
volokhatyk,волохатик：毛深い人
volokhach,волохач：ヴォロハーチ（人名）
volokhokrylets,волохокрилець：翼手目
volotsyuzhka,волоцюжка：浮浪女性
volotsyuztvo,волоцюзтво：放浪
volochylnyy,волочильний：引き抜きの
volochnyy,волочний：引抜きの
voloshyno,волошино：ヴォロシノ
voloshynskyy,волошинський：ヴォロシンスキー
volrevkyy,волревкий：革命軍事評議会
volstonkraft,волстонкрафт：ウルストンクラフト
volters,волтерс：ウォルターズ（人名）
voluv,волув：牛を追った
voluntari,волунтарі：ボランティア
volusiya,волусія：ヴォルシア（固有名詞）
volf,волф：ウルフ
volfa,волфа：ウルフ
volfy,волфи：ウルフ（人名）
volkhvynya,волхвиня：魔女
volkhov,волхов：ヴォルホフ
volkhova,волхова：ヴォルホフ
volchek,"волчек：コマ,独楽"
volchyn,волчин：ヴォルチン
volsh,волш：VOLSH（略語）
volshebnyy,волшебний：魔法の
volshebnyk,волшебник：魔法使い
volbrom,вольбром：ヴォルブロム
volvoks,вольвокс：ボルボックス
volha,вольга：ヴォルガ
volhotno,вольготно：自由に
volnyy,вольний：自由な
volnoy,вольной：自由な（ロシア語）
volnost,вольность：自由
volnist,вольність：自由
volovytist,вольовитість：意志の強さ
volsk,вольск：ヴォリスク
volska,вольска：ヴォルスカ
volsky,вольски：ヴォルスキー
volsk,вольськ：ヴォルスク
volsky,вольськи：ヴォルスキ
volsko,вольсько：ヴォルスコ
voltovyy,вольтовий：ボルトの
volturno,вольтурно：ヴォルトゥルノ
volframit,вольфраміт：鉄マンガン重石
volfsberh,вольфсберг：ヴォルフスベルク
volshtyn,вольштин：ヴォルシュティン
volyernyy,вольєрний：囲いの
volyuntarystsky,волюнтаристськи：意志主義的に
volyuta,волюта：渦巻き
volya-kabel,воля-кабель：意志ケーブル
volyanuv,волянув：ヴォリャヌフ
volikty,волікти：引きずる
voliktysya,воліктися：引きずられる
volinnya,воління：意志
vom,вом：VOM
vombat,вомбат：ウォンバット
vombzhezhno,вомбжежно：ヴォンブジェジノ
vomeronazalnyy,вомероназальний：鋤鼻の
vompelsk,вомпельськ：ヴォンペルスク
von,вон：あそこ \ 彼 \ 彼（俗語）
vondererz,вондерерз：ワンダラーズ
vonderers,вондерерс：ワンダラーズ
vonespivmirny,вонеспівмірни：不釣り合いな
voneyevra,вонеєвра：ヴォネエヴラ
vonyy,воний：ヴォニイ
vonle,вонле：ヴォンレ
vonn,вонн：ヴォン
vonsan,вонсан：元山
vonsevo,вонсево：ヴォンセヴォ
vonsovskoho,вонсовського：ヴォンソフスキー
vonsosh,вонсош：ヴォンソシュ
vonkhotsk,вонхоцьк：ヴォンホツク
von,вонь：悪臭
vonyuchyy,вонючий：臭い
vonyuchi,вонючі：臭い \ 臭い（複数形）
vonya,воня：臭い
vonyalo,воняло：悪臭がした（ロシア語）
vonyaye,воняє：臭う
vonyaiy,воняій：臭いの（誤綴）
voobrazhenye,воображение：想像力
voobche,вообче：全く（ロシア語）
voobshche,вообще：全く（ロシア語） \ 全般的に（ロシア語）
voobshchye,вообщє：一般に
vooruzhenye,вооружение：武装
vooruzhenyyy,вооружениий：武装した（誤記の可能性）
vooruzhenyy,вооружений：武装した
vooruzhenyya,вооружения：兵器（ロシア語） \ 武装
vooruzhennaya,вооруженная：武装した
vooruzhennyy,вооруженний：武装した
vootsa,воотса：WOOTSA
vop,воп：VOP
vopa,вопа：VOPA \ ヴォパ
vopana,вопана：ヴォパナ
voperenakopycheny,воперенакопичени：前もって蓄積された
vopyy,вопий：叫ぶ
vopke,вопке：ヴォプケ
voplotytysya,воплотитися：具現化する
voplochennya,воплочення：体現
voplochenniy,воплоченній：具現化された
voploshchenye,воплощение：具現化（ロシア語）
vopl,вопль：叫び
vopo,вопо：人民警察(東独)
vopreky,вопреки：にもかかわらず（ロシア語）
vopropila,вопропіла：ヴォプロピラ
vopros,вопрос：問題（ロシア語・重複） \ 質問（ロシア語）
voprosa,вопроса：問題（ロシア語・生格）
voprosam,вопросам：問題に
voprosakh,вопросах：問題において
voprose,вопросе：問題（ロシア語）
voprosy,вопроси：問題（ロシア語） \ 質問（ロシア語）
voprosyy,вопросий：質問の（ロシア語風）
voprosov,вопросов：問題（ロシア語） \ 質問 \ 質問の（ロシア語）
voprosova,вопросова：質問
voprosom,вопросом：質問
vopris,вопріс：質問（ロシア語）
vopshe,вопше：まったく(俗語)
vopiyushchyy,вопіющий：叫ぶ（ロシア語）
vor,вор：泥棒 \ 泥棒（ロシア語）
vora,вора：泥棒
vorvalys,ворвались：突入した（ロシア語）
vorvatysya,ворватися：突入する
vord,ворд：ワード
vordsvorta,вордсворта：ワーズワース（所有格）
vordivskyy,вордівський：ワーズワースの
voren,ворен：ヴォレン
vorzelskyy,ворзельський：ヴォルゼリの
vory,вори：泥棒 \ 泥棒たち
voryy,ворий：盗む
voryty,ворити：作る
vorkaut,воркаут：ワークアウト
vorkauta,воркаута：ワークアウト
vorkautyy,воркаутий：ワークアウトの
vorkautom,воркаутом：ワークアウト
vorkotyty,воркотити：ブツブツ言う
vorkotlyvyy,воркотливий：不平を言う
vorkutauhol,воркутауголь：ヴォルクタウーゴリ
vorkutynskyy,воркутинський：ヴォルクタの
vorkshop,воркшоп：ワークショップ
vorkshopa,воркшопа：ワークショップ \ ワークショップの
vorkshopakh,воркшопах：ワークショップ（複数・前置格）
vorkshopy,воркшопи：ワークショップ
vorkshopu,воркшопу：ワークショップ \ ワークショップの \ ワークショップ（属格）
vorkshopiv,воркшопів：ワークショップ（複数属格）
vorkshopity,воркшопіти：ワークショップをする
vorld,ворлд：ワールド
vorm,ворм：ヴォルム
vormer,вормер：ヴォルマー
vorms,вормс：ヴォルムス
vormsa,вормса：ヴォルムス（所有格）
vorner,ворнер：ワーナー
vornyk,ворник：門番
voro,воро：烏
vorobyovskoho,воробйовського：ヴォロビヨフスキーの
vorobkevycha,воробкевича：ヴォロブケヴィチ
vorov,воров：泥棒 \ 泥棒（ロシア語）
vorova,"ворова：盗賊の,泥棒の"
vorovaty,воровати：盗む（ロシア語）
vorovat,воровать：盗む（ロシア語）
vorovstvo,воровство：窃盗(ロシア語)
vorohynya,ворогиня：女敵
vorozhaty,ворожати：占う
vorozhbytnyy,ворожбитний：占いの
vorozhenko,вороженько：敵意を持って
vorozhylnyy,ворожильний：占いの
voronezhets,воронежець：ヴォロネジ住民
voronenyy,воронений：黒染めの
voronenkov,вороненков：ヴォロネンコフ
voronenkova,вороненкова：ヴォロネンコヴァ（姓）
voronenkovym,вороненковим：ヴォロネンコフの
voronych,воронич：ヴォロニチ（地名）
voronkopodibnyy,воронкоподібний：漏斗状の
voronok,воронок：じょうご
voronuvannya,воронування：ブルーイング
vorontsovka,воронцовка：ヴォロンツォフカ
voronchenka,воронченка：ヴォロンチェンカ（人名）
voronchenko,воронченко：ヴォロンチェンコ
voronyenkova,воронєнкова：ヴォロニェンコヴァ（人名）
voronivskyy,воронівський：ヴォロニウの \ ヴォロニフスキー
vorot,"ворот：門 \ 門,襟 \ 門（古語）"
vorotan,воротан：ヴォロタン（地名）
vorotarskyy,воротарський：ゴールキーパーの
vorotytysya,воротитися：戻る
vorotnyy,воротний：門の
vorotnyk,воротник：襟(ロシア語)
vorokh,ворох：山
vorokhba,ворохба：占い
vorokhnutysya,"ворохнутися：動く,身動きする"
vorokhoba,ворохоба：かき混ぜ
vorokhobnya,ворохобня：倉庫
vorochaty,ворочати：動かす
vorochatysya,ворочатися：寝返りを打つ
vorochovo,ворочово：ヴォロチョヴォ
vorriorz,ворріорз：ウォリアーズ
vorriors,ворріорс：ウォリアーズ
vorsynchastyy,ворсинчастий：絨毛状
vorsklytsya,ворсклиця：ヴォルスクリツャ
vorsklyan,ворсклян：ヴォルスクラ住民
vorsovyy,ворсовий：パイルの
vorst,ворст：ヴォルスト
vorteks,вортекс：ボルテックス
vorukhkyy,ворухкий：動きやすい
vorizhenka,воріженька：小さな敵
vorizhenky,воріженьки：敵（愛称）
vorittya,воріття：門
vos,вос：VOS
vosa,воса：ヴォサ
vosva,восва：ヴォスヴァ
vosvoa,восвоа：VOSVOA
vosedlya,воседля：馬周辺
voseka,восека：蜜蝋（古語）
vosemy,восеми：8の(ロシア語)
vosem,восемь：8
vosenyy,восений：秋の（方言）
voskovanyy,воскований：ワックス状の
voskovytsya,восковиця：ろう膜
voskopodibnyy,воскоподібний：ろう状の
voskoyid,воскоїд：ワックスを食べる者 \ 蜜蝋食い鳥
voskoyidov,воскоїдов：蝋食虫
voskoyidovi,воскоїдові：蝋を食べる（複数形）
voskresayuchyy,воскресаючий：復活する
voskresenyya,воскресения：復活（属格・ロシア語）
voskresennya,воскресення：復活
voskresenniy,воскресенній：日曜日の（ロシア語）
voskresenske,воскресенське：ヴォスクレセンスコエ
voskresene,воскресенье：日曜日 \ 日曜日(ロシア語)
voskresytel,воскреситель：復活者
voskresnet,воскреснет：復活する
voskresnyy,воскресний：日曜の（ロシア語）
voskresye,воскресє：復活する（誤綴）
voskresinets,воскресінець：復活祭を祝う人
voskreshenyy,воскрешений：復活した
voskreshennya,воскрешення：復活
vosnovnyy,восновний：主要な
vosp,восп：VOSP(略語)
vospytanye,воспитание：教育（ロシア語）
vospytanyy,воспитании：教育（ロシア語）
vospytanyya,воспитания：教育 \ 教育の（ロシア語）
vospytaty,воспитати：育てる（ロシア語）
vospolzovatysya,воспользоватися：利用する
vospomynanyy,воспоминаний：思い出の
vospomynanyya,воспоминания：思い出
vospomynanyi,воспоминаниі：回想
vosprynymaty,воспринимати：受け止める（ロシア語）
vosprynymat,воспринимать：受け取る（ロシア語）
vospryyatye,восприятие：知覚
vospryyatyya,восприятия：知覚 \ 認識（ロシア語）
vosproyzvedenye,воспроизведение：再生
vospryanuty,воспрянути：奮起する
vospivvidpovidalny,воспіввідповідальни：共同責任を歌った
vospivmirny,воспівмірни：比例する
vospivstavny,воспівставни：歌う（誤記の可能性）
voss,восс：ヴォス
vossoedynenyya,воссоединения：再統一
vosstanye,восстание：蜂起
vosstanyya,восстания：蜂起 \ 蜂起の
vosstanovyty,восстановити：回復する
vosstanovyt,восстановить：復元する
vosstanovlenye,восстановление：回復 \ 回復（ロシア語）
vosstanovlenyy,восстановлении：回復(ロシア語形・前置格)
vosstanovlenyy,восстановлений：回復された（ロシア語）
vosstanovlenyya,восстановления：回復（ロシア語）
vossidaty,воссідати：座る
vostky,востки：ヴォストキ（不明）
vostok,восток：東 \ 東（ロシア語）
vostoka,востока：東
vostokvuhlemash,востоквуглемаш：ヴォストクウグレマシュ
vostoke,востоке：東
vostokyy,востокий：東の（ロシア語風）
vostokovedenye,востоковедение：東洋学
vostokovedenyya,востоковедения：東洋学（ロシア語）
vostokovedov,востоковедов：東洋学者（属格）
vostorh,восторг：歓喜
vostorzhestvuvaty,восторжествувати：勝利する（ロシア語）
vostochnaya,восточная：東の
vostochnyy,восточний：東部の（ロシア語）
vostochnoy,восточной：東の \ 東の（ロシア語） \ 東部（ロシア語）
vostochnoslavyanskyy,восточнославянский：東スラブの（ロシア語）
voskhvalyaty,восхваляти：賛美する
vos,вось：これが
vosk,воськ：蝋
vosko,восько：ワックス \ ヴォシコ
vosma,восьма：8番目 \ 8番目の
vosmeryky,восьмерики：八角形構造
vosmybalnyy,восьмибальний：8点満点の
vosmybitnyy,восьмибітний：8ビットの
vosmybichnyy,восьмибічний：八角形の
vosmyvahonnyy,восьмивагонний：8両編成の
vosmyvidsotkovyy,восьмивідсотковий：8パーセントの
vosmyvisnyy,восьмивісний：8軸の
vosmydesyatylitniy,восьмидесятилітній：80歳の
vosmydesyatyrichnyy,восьмидесятирічний：80歳の
vosmydesyat,восьмидесять：80
vosmydyuymovyy,восьмидюймовий：8インチの
vosmydiapazonnyy,восьмидіапазонний：8バンドの
vosmyznachnyy,восьмизначний：八桁の
vosmykvartyrnyy,восьмиквартирний：8世帯の
vosmykolonnyy,восьмиколонний：八柱の
vosmykolisnyy,восьмиколісний：8輪の
vosmykonechnyy,восьмиконечний：八角の
vosmykilometrovyy,восьмикілометровий：8キロメートルの
vosmykinechnyy,восьмикінечний：8端の
vosmykintsevyy,восьмикінцевий：八肢の
vosmymatcheva,восьмиматчева：8試合の
vosmymatchevyy,восьмиматчевий：8試合の
vosmymehapikselnyy,восьмимегапіксельний：8メガピクセルの
vosmymetrovyy,восьмиметровий：8メートルの
vosmymilyonnyy,восьмимільйонний：八百万の
vosmymisnyy,восьмимісний：8席の
vosmymisyachnyy,восьмимісячний：8か月の
vosmynohyy,восьминогий：8本足の
vosmypelyustkovyy,восьмипелюстковий：八弁の
vosmypelyustkiv,восьмипелюстків：8つの花弁の
vosmypromeneva,восьмипроменева：八光線の
vosmypromenevyy,восьмипроменевий：8つの光線の
vosmyrazovyy,восьмиразовий：8倍の
vosmyraundovyy,восьмираундовий：8ラウンドの
vosmyrozryadnyy,восьмирозрядний：8桁の
vosmyseriynyy,восьмисерійний：8話の
vosmysmuhovyy,восьмисмуговий：8車線の
vosmystvolnyy,восьмиствольний：8銃身の
vosmystupenevyy,восьмиступеневий：8段階の
vosmystupinchastyy,восьмиступінчастий：8段階の
vosmystupinchastoy,восьмиступінчастой：8段階の
vosmyskhylyy,восьмисхилий：八斜面の
vosmytyzhnevyy,восьмитижневий：8週間の
vosmytysyachnyy,восьмитисячний：8000の
vosmytysyachnyk,восьмитисячник：8000m峰
vosmytomnyy,восьмитомний：8巻の
vosmytonnyy,восьмитонний：8トンの
vosmykhvylynnyy,восьмихвилинний：8分間の
vosmytsylindrovyy,восьмициліндровий：8気筒の
vosmyyadernyy,восьмиядерний：8コアの
vosmiyadernyy,восьміядерний：8核の
vot,вот：これだ（ロシア語） \ ほら（ロシア語・重複） \ ほら（ロシア語）
vota,вота：ここに（方言） \ ヴォタ
votan,вотан：ヴォータン
voterheytskyy,вотергейтський：ウォーターゲートの
voters,вотерс：ウォーターズ
votersa,вотерса：ウォーターズ（人名）
votersom,вотерсом：ウォーターサム
voterford,вотерфорд：ウォーターフォード
votergeytskyy,вотерґейтський：ウォーターゲートの
voty,воти：ここに（方言）
votyvnyy,вотивний：奉納の
votyvni,вотивні：奉納の
votysya,вотися：願う
votkom,вотком：ヴォトコム
votkins,воткінс：ワトキンス
votsone,вотсоне：ワトソン
votts,воттс：ワッツ
votuvannya,вотування：投票
votuvaty,вотувати：投票する
votford,вотфорд：ワトフォード
votforda,вотфорда：ワトフォード
votfordom,вотфордом：ワトフォード
votchynnyy,вотчинний：世襲領地の
vouma,воума：理性
vousa,воуса：ヴォウサ
vokhalda,вохалда：ヴォハルダ
vokhkyy,вохкий：湿った
vokhrystovolyy,вохристоволий：黄土色の髪の
vokhrovyy,вохровий：黄土色の
votsa,воца：ヴォツァ
votsarytysya,воцаритися：君臨する
votsarinnya,воцаріння：即位
votserkovlenyy,воцерковлений：教会化された
votserkovlennya,воцерковлення：教会化
votstseka,воццека：ヴォツェック(人名)
vochevydyachky,вочевидячки：明らかに
vosh,вош：シラミ
voshel,вошел：入った
voshkatysya,вошкатися：シラミがつく
vosho,вошо：ヴォショ
voyuvannya,воювання：戦争
voyuvatysya,воюватися：戦われる
voyadzher,вояджер：ボイジャー
voyasny,воясни：ヴォヤスニ
voye,воє：吠える
voyeva,воєва：ヴォイェヴァ
voyevody,воєводи：総督
voyevodynskyy,воєводинський：ヴォイヴォディナの
voyevodych,воєводич：軍司令官の息子
voyevudskoho,воєвудського：ヴォエヴォツキの
voyevidstvo,воєвідство：県
voyeykova,воєйкова：ヴォエイコヴァ
voyenyy,воєний：軍事の
voyenk,воєнк：軍事委員会
voyenka,воєнка：戦争 \ 軍事委員部
voyenkyy,воєнкий：軍事委員会
voyenkom,воєнком：軍事委員
voyenkoma,воєнкома：軍事委員
voyenkomat,воєнкомат：徴兵事務所
voyenkomata,воєнкомата：軍事委員会（格変化形）
voyenkomy,воєнкоми：軍事委員会
voyenkomyy,воєнкомий：軍事委員
voyenkomom,воєнкомом：軍事委員
voyenkor,воєнкор：戦争特派員
voyenruk,воєнрук：軍事指導者 \ 軍事教官
voyentekhnik,воєнтехнік：軍事技術者
voyentorh,воєнторг：軍用品店
voyentorha,воєнторга：軍事貿易
voyenshchyna,воєнщина：軍事体制 \ 軍国主義
voiv,воів：戦士
voyina-internatsionalisto,воїна-інтернаціоналісто：国際主義戦士
voyinu-vyzvolytel,воїну-визволитель：解放戦士
voyistynu,воїстину：本当に
voyitel,воїтель：戦士
voyikhna,воїхна：彼らの（古語）
vpavshyy,впавший：倒れた \ 落ちた
vpadlo,впадло：落ち込んだ（俗語）
vpad,впадь：落ちる
vpar,впар：蒸気
vph,впг：VPG
vpevnenyy,впевнений：確信している
vpevnennyy,впевненний：確信した（誤字）
vpevnenno,впевненно：自信を持って
vpevnennist,впевненність：確信
vpevneno,впевнено：自信を持って
vpevnenishe,впевненіше：より自信を持って
vpevnenishyy,впевненіший：より確信した
vperve,вперве：初めて
vpereda,впереда：前方
vperedyy,впередий：前の
vperemizhka,"впереміжка：交互に,まだらに"
vperemizhok,впереміжок：交互に
vpereshe,впереше：初めて（誤記）
vpertyy,впертий：頑固な
vpertyukh,впертюх：頑固者
vpertishe,впертіше：より頑固に
vpersh,вперш：初めて(誤字)
vpershyy,вперший：初めて
vperod,вперьод：前進
vperid,вперід：前方へ(誤記)
vpechataty,впечатати：押印する
vpechatlenye,впечатление：印象（ロシア語）
vpechatlenyya,впечатления：印象(ロシア語形) \ 印象（ロシア語）
vpyv,впив：影響
vpyratymetysya,впиратиметися：頑固に主張する
vpysannya,вписання：記入
vpysanist,вписаність：適合性
vpysuvatymetysya,вписуватиметися：適合する
vpykhatysya,впихатися：押し込まれる
vpykhnuty,впихнути：押し込む
vplatyty,вплатити：支払う
vplestysya,вплестися：絡み合う
vplyvayuchyy,впливаючий：影響を与える
